GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
E-Commerce API,com.ecommerce.api.security,JwtProvider,16,179,0,2,6,64,0,10,0,9
E-Commerce API,com.ecommerce.api.security,JwtAuthenticationFilter,73,20,8,2,15,8,5,2,0,2
E-Commerce API,com.ecommerce.api.security,UsuarioPrincipal,2,25,2,4,1,4,2,3,0,2
E-Commerce API,com.ecommerce.api.controller,AuthController,15,32,0,0,3,7,1,3,1,3
E-Commerce API,com.ecommerce.api.controller,PedidoController,58,62,12,4,14,16,10,7,2,7
E-Commerce API,com.ecommerce.api.controller,ProdutoController,108,93,0,0,13,22,4,8,4,8
E-Commerce API,com.ecommerce.api.controller,ClienteController,29,62,6,4,6,15,5,8,1,7
E-Commerce API,com.ecommerce.api.controller,CategoriaController,0,42,0,0,0,7,0,6,0,6
E-Commerce API,com.ecommerce.api.controller,PagamentoController,62,69,12,4,13,18,9,8,1,8
E-Commerce API,com.ecommerce.api.controller,UsuarioController,25,0,0,0,5,0,4,0,4,0
E-Commerce API,com.ecommerce.api.service,CategoriaService,2,145,1,3,1,35,1,10,0,9
E-Commerce API,com.ecommerce.api.service,PedidoService,14,187,3,7,5,45,4,12,1,10
E-Commerce API,com.ecommerce.api.service,PagamentoService,45,194,3,5,8,49,8,11,5,10
E-Commerce API,com.ecommerce.api.service,UsuarioService,38,325,6,12,6,78,6,15,0,12
E-Commerce API,com.ecommerce.api.service,ClienteService,64,113,2,2,15,30,5,6,3,6
E-Commerce API,com.ecommerce.api.service,ProdutoService,432,110,16,2,86,20,24,4,16,3
E-Commerce API,com.ecommerce.api.config,SecurityConfig,5,93,0,0,0,17,1,8,1,8
E-Commerce API,com.ecommerce.api.config,H2ConsoleConfiguration,0,9,0,0,0,3,0,2,0,2
E-Commerce API,com.ecommerce.api.config,JacksonConfig,0,32,0,0,0,8,0,2,0,2
E-Commerce API,com.ecommerce.api.config,DataInitializer,1,37,1,1,1,12,1,2,0,2
E-Commerce API,com.ecommerce.api.config,SwaggerConfig,0,35,0,0,0,13,0,2,0,2
E-Commerce API,com.ecommerce.api.exception,RecursoNaoEncontradoException,0,4,0,0,0,2,0,1,0,1
E-Commerce API,com.ecommerce.api.exception,GlobalExceptionHandler,36,152,2,0,9,45,2,7,1,7
E-Commerce API,com.ecommerce.api.exception,EstoqueInsuficienteException,4,0,0,0,2,0,1,0,1,0
E-Commerce API,com.ecommerce.api.dto,LoginResponse,0,17,0,0,0,9,0,1,0,1
E-Commerce API,com.ecommerce.api.model,ItemPedido,10,0,0,0,1,0,1,0,1,0
E-Commerce API,com.ecommerce.api.model,Usuario.Papel,0,15,0,0,0,2,0,1,0,1
E-Commerce API,com.ecommerce.api.enums,StatusPedido,3,46,0,0,1,9,1,2,1,2
E-Commerce API,com.ecommerce.api.enums,StatusPagamento,3,39,0,0,1,8,1,2,1,2
